Detected 16 CPU cores
NO FACE AT 1687
NO FACE AT 1688
NO FACE AT 1689
NO FACE AT 1690
NO FACE AT 1691
NO FACE AT 1692
NO FACE AT 1693
NO FACE AT 1694
NO FACE AT 1695
NO FACE AT 1696
NO FACE AT 1697
NO FACE AT 1698
NO FACE AT 1699
NO FACE AT 1700
NO FACE AT 1701
NO FACE AT 1702
NO FACE AT 1709
NO FACE AT 1735
NO FACE AT 1736
NO FACE AT 1741
NO FACE AT 1742
NO FACE AT 1743
NO FACE AT 1745
NO FACE AT 1746
NO FACE AT 1748
NO FACE AT 1749
NO FACE AT 1750
NO FACE AT 1751
NO FACE AT 1752
NO FACE AT 1806
NO FACE AT 1807
NO FACE AT 1808
NO FACE AT 1809
NO FACE AT 1810
NO FACE AT 1811
NO FACE AT 1812
NO FACE AT 1813
NO FACE AT 1814
NO FACE AT 1815
NO FACE AT 1816
NO FACE AT 1817
NO FACE AT 1818
NO FACE AT 1819
NO FACE AT 1820
NO FACE AT 1821
NO FACE AT 1822
NO FACE AT 1823
NO FACE AT 1824
NO FACE AT 1825
NO FACE AT 1826
NO FACE AT 1827
NO FACE AT 1828
NO FACE AT 1829
NO FACE AT 1830
NO FACE AT 1832
NO FACE AT 1833
NO FACE AT 1834
NO FACE AT 1835
NO FACE AT 1838
NO FACE AT 1839
NO FACE AT 1840
NO FACE AT 1841
NO FACE AT 1842
NO FACE AT 1843
NO FACE AT 1844
NO FACE AT 1845
NO FACE AT 1846
NO FACE AT 1847
NO FACE AT 1848
NO FACE AT 1849
NO FACE AT 1850
NO FACE AT 1851
NO FACE AT 1852
NO FACE AT 1853
NO FACE AT 1855
NO FACE AT 1859
NO FACE AT 1860
NO FACE AT 1866
NO FACE AT 1867
NO FACE AT 1874
NO FACE AT 1879
NO FACE AT 1882
NO FACE AT 1887
NO FACE AT 1888
NO FACE AT 1889
NO FACE AT 1907
NO FACE AT 1908
NO FACE AT 1909
NO FACE AT 1910
NO FACE AT 1911
NO FACE AT 1912
NO FACE AT 1913
NO FACE AT 1914
NO FACE AT 1915
NO FACE AT 1916
NO FACE AT 1919
NO FACE AT 1920
NO FACE AT 1922
MULTIPLE FACES AT 1926
NO FACE AT 1932
NO FACE AT 1935
NO FACE AT 1941
NO FACE AT 1943
NO FACE AT 1944
NO FACE AT 1946
NO FACE AT 1947
NO FACE AT 1965
NO FACE AT 1966
NO FACE AT 1967
NO FACE AT 1968
NO FACE AT 1971
NO FACE AT 1972
NO FACE AT 1973
NO FACE AT 1974
NO FACE AT 1975
NO FACE AT 1976
NO FACE AT 1977
NO FACE AT 1978
NO FACE AT 1979
NO FACE AT 1981
NO FACE AT 1982
NO FACE AT 1984
NO FACE AT 1985
NO FACE AT 1986
NO FACE AT 1987
NO FACE AT 1988
NO FACE AT 1989
NO FACE AT 1990
NO FACE AT 1991
NO FACE AT 1992
NO FACE AT 1993
NO FACE AT 1994
NO FACE AT 1995
NO FACE AT 2000
NO FACE AT 2001
NO FACE AT 2002
NO FACE AT 2003
NO FACE AT 2004
NO FACE AT 2005
NO FACE AT 2035
NO FACE AT 2036
NO FACE AT 2037
NO FACE AT 2038
NO FACE AT 2039
NO FACE AT 2040
NO FACE AT 2041
NO FACE AT 2042
NO FACE AT 2043
NO FACE AT 2044
NO FACE AT 2045
NO FACE AT 2046
NO FACE AT 2047
NO FACE AT 2048
NO FACE AT 2049
NO FACE AT 2050
NO FACE AT 2051
NO FACE AT 2052
NO FACE AT 2053
NO FACE AT 2054
NO FACE AT 2055
NO FACE AT 2056
NO FACE AT 2057
NO FACE AT 2058
NO FACE AT 2059
NO FACE AT 2060
NO FACE AT 2061
NO FACE AT 2062
NO FACE AT 2063
NO FACE AT 2064
NO FACE AT 2065
NO FACE AT 2066
NO FACE AT 2067
NO FACE AT 2070
NO FACE AT 2082
MULTIPLE FACES AT 2090
NO FACE AT 2096
NO FACE AT 2097
NO FACE AT 2098
NO FACE AT 2099
NO FACE AT 2100
NO FACE AT 2101
NO FACE AT 2102
NO FACE AT 2104
NO FACE AT 2105
NO FACE AT 2107
NO FACE AT 2112
NO FACE AT 2113
NO FACE AT 2114
NO FACE AT 2115
NO FACE AT 2122
NO FACE AT 2123
MULTIPLE FACES AT 2154
NO FACE AT 2160
NO FACE AT 2161
NO FACE AT 2162
NO FACE AT 2163
NO FACE AT 2164
NO FACE AT 2165
NO FACE AT 2167
NO FACE AT 2168
NO FACE AT 2170
NO FACE AT 2172
NO FACE AT 2174
NO FACE AT 2175
NO FACE AT 2178
NO FACE AT 2179
NO FACE AT 2180
NO FACE AT 2181
NO FACE AT 2182
NO FACE AT 2183
NO FACE AT 2184
NO FACE AT 2185
NO FACE AT 2186
NO FACE AT 2187
NO FACE AT 2188
NO FACE AT 2189
NO FACE AT 2190
NO FACE AT 2191
NO FACE AT 2192
NO FACE AT 2193
NO FACE AT 2194
NO FACE AT 2223
NO FACE AT 2224
NO FACE AT 2225
NO FACE AT 2227
NO FACE AT 2228
NO FACE AT 2229
NO FACE AT 2230
NO FACE AT 2231
NO FACE AT 2232
NO FACE AT 2233
NO FACE AT 2234
NO FACE AT 2235
NO FACE AT 2236
NO FACE AT 2238
NO FACE AT 2239
NO FACE AT 2240
NO FACE AT 2241
NO FACE AT 2245
NO FACE AT 2246
NO FACE AT 2247
NO FACE AT 2248
NO FACE AT 2249
NO FACE AT 2250
NO FACE AT 2251
NO FACE AT 2252
NO FACE AT 2253
NO FACE AT 2255
NO FACE AT 2256
NO FACE AT 2257
NO FACE AT 2258
NO FACE AT 2259
NO FACE AT 2260
NO FACE AT 2262
NO FACE AT 2264
NO FACE AT 2265
NO FACE AT 2266
NO FACE AT 2267
NO FACE AT 2268
NO FACE AT 2274
NO FACE AT 2276
NO FACE AT 2290
NO FACE AT 2291
NO FACE AT 2292
NO FACE AT 2293
NO FACE AT 2294
NO FACE AT 2295
NO FACE AT 2296
NO FACE AT 2297
NO FACE AT 2299
NO FACE AT 2300
NO FACE AT 2301
NO FACE AT 2302
NO FACE AT 2303
NO FACE AT 2304
NO FACE AT 2305
NO FACE AT 2306
NO FACE AT 2307
NO FACE AT 2308
NO FACE AT 2309
NO FACE AT 2310
NO FACE AT 2311
NO FACE AT 2312
MULTIPLE FACES AT 2410
MULTIPLE FACES AT 2411
NO FACE AT 2416
NO FACE AT 2417
NO FACE AT 2418
NO FACE AT 2419
NO FACE AT 2420
NO FACE AT 2421
NO FACE AT 2422
NO FACE AT 2423
NO FACE AT 2424
NO FACE AT 2425
NO FACE AT 2426
NO FACE AT 2427
NO FACE AT 2428
NO FACE AT 2429
NO FACE AT 2430
NO FACE AT 2431
NO FACE AT 2432
NO FACE AT 2433
NO FACE AT 2434
NO FACE AT 2435
NO FACE AT 2436
NO FACE AT 2437
NO FACE AT 2438
NO FACE AT 2439
NO FACE AT 2440
NO FACE AT 2441
NO FACE AT 2442
NO FACE AT 2443
NO FACE AT 2444
NO FACE AT 2445
NO FACE AT 2446
NO FACE AT 2449
NO FACE AT 2450
NO FACE AT 2451
NO FACE AT 2452
NO FACE AT 2453
NO FACE AT 2454
NO FACE AT 2455
NO FACE AT 2456
NO FACE AT 2457
NO FACE AT 2458
NO FACE AT 2459
NO FACE AT 2460
NO FACE AT 2461
NO FACE AT 2462
NO FACE AT 2463
NO FACE AT 2464
NO FACE AT 2465
NO FACE AT 2466
NO FACE AT 2467
NO FACE AT 2468
NO FACE AT 2469
NO FACE AT 2470
NO FACE AT 2471
NO FACE AT 2472
NO FACE AT 2473
NO FACE AT 2474
NO FACE AT 2479
NO FACE AT 2484
NO FACE AT 2498
NO FACE AT 2499
NO FACE AT 2500
NO FACE AT 2501
NO FACE AT 2502
NO FACE AT 2503
NO FACE AT 2504
NO FACE AT 2505
NO FACE AT 2506
NO FACE AT 2507
NO FACE AT 2508
NO FACE AT 2509
NO FACE AT 2510
NO FACE AT 2519
NO FACE AT 2520
NO FACE AT 2521
NO FACE AT 2522
NO FACE AT 2523
NO FACE AT 2524
NO FACE AT 2525
NO FACE AT 2526
NO FACE AT 2527
NO FACE AT 2528
NO FACE AT 2529
NO FACE AT 2542
NO FACE AT 2543
NO FACE AT 2544
NO FACE AT 2545
NO FACE AT 2546
NO FACE AT 2547
NO FACE AT 2548
NO FACE AT 2549
NO FACE AT 2550
NO FACE AT 2551
NO FACE AT 2552
NO FACE AT 2553
NO FACE AT 2568
NO FACE AT 2596
NO FACE AT 2597
NO FACE AT 2598
NO FACE AT 2599
NO FACE AT 2616
NO FACE AT 2617
NO FACE AT 2631
NO FACE AT 2633
NO FACE AT 2663
NO FACE AT 2664
NO FACE AT 2670
NO FACE AT 2671
NO FACE AT 2672
NO FACE AT 2683
NO FACE AT 2740
NO FACE AT 2742
NO FACE AT 2743
NO FACE AT 2744
NO FACE AT 2746
NO FACE AT 2747
NO FACE AT 2748
NO FACE AT 2749
NO FACE AT 2750
NO FACE AT 2751
NO FACE AT 2752
NO FACE AT 2756
NO FACE AT 2757
NO FACE AT 2758
NO FACE AT 2759
NO FACE AT 2760
NO FACE AT 2761
NO FACE AT 2763
NO FACE AT 2764
NO FACE AT 2765
NO FACE AT 2766
NO FACE AT 2767
NO FACE AT 2768
NO FACE AT 2769
NO FACE AT 2770
NO FACE AT 2771
NO FACE AT 2772
NO FACE AT 2773
NO FACE AT 2805
NO FACE AT 2807
NO FACE AT 2808
NO FACE AT 2809
NO FACE AT 2810
NO FACE AT 2811
NO FACE AT 2816
NO FACE AT 2817
NO FACE AT 2820
NO FACE AT 2821
NO FACE AT 2822
NO FACE AT 2824
NO FACE AT 2825
NO FACE AT 2835
NO FACE AT 2836
NO FACE AT 2837
NO FACE AT 2839
NO FACE AT 2840
NO FACE AT 2841
NO FACE AT 2842
NO FACE AT 2843
NO FACE AT 2844
NO FACE AT 2845
NO FACE AT 2846
NO FACE AT 2847
NO FACE AT 2848
NO FACE AT 2885
NO FACE AT 2886
NO FACE AT 2887
NO FACE AT 2888
NO FACE AT 2889
NO FACE AT 2891
NO FACE AT 2892
NO FACE AT 2893
NO FACE AT 2894
NO FACE AT 2895
NO FACE AT 2899
NO FACE AT 2905
NO FACE AT 2906
NO FACE AT 2907
NO FACE AT 2908
NO FACE AT 2910
NO FACE AT 2911
NO FACE AT 2913
NO FACE AT 2916
NO FACE AT 2917
VIOLATION IN I 2957
NO FACE AT 2958
NO FACE AT 3001
NO FACE AT 3011
NO FACE AT 3016
NO FACE AT 3017
NO FACE AT 3018
NO FACE AT 3020
NO FACE AT 3024
NO FACE AT 3040
NO FACE AT 3041
NO FACE AT 3042
NO FACE AT 3043
NO FACE AT 3044
NO FACE AT 3045
NO FACE AT 3046
NO FACE AT 3048
NO FACE AT 3049
NO FACE AT 3052
NO FACE AT 3060
NO FACE AT 3062
NO FACE AT 3071
NO FACE AT 3072
NO FACE AT 3079
NO FACE AT 3080
NO FACE AT 3089
NO FACE AT 3091
NO FACE AT 3092
NO FACE AT 3096
NO FACE AT 3099
NO FACE AT 3104
NO FACE AT 3108
NO FACE AT 3117
NO FACE AT 3118
NO FACE AT 3119
NO FACE AT 3126
time = 158.869
3132
12
1015
